longitude,latitude,sp1,sp2,sp3,wc1,wc2,wc3,wc4,wc5,wc6,wc7,wc8,wc9,wc10,wc11,wc12,wc13,wc14,wc15,wc16,wc17,wc18,wc19,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lc9,lc10
-79.58333333333333,47.416666666666664,,,1.0,2.902198,10.817187,23.849781,1207.7863,24.29275,-21.06275,45.3555,16.138208,-11.755917,16.95221,-12.710292,833.0,93.0,40.0,24.882177,267.0,146.0,263.0,148.0,1.0,2.0,12.0,0.0,6.0,0.0,31.0,1.0,48.0,1.0
-79.58333333333333,47.583333333333336,,,1.0,2.6897604,11.538396,25.02648,1231.8297,24.57825,-21.5265,46.10475,15.913667,-12.192458,16.883875,-13.341583,831.0,92.0,40.0,24.686327,268.0,147.0,260.0,148.0,3.0,31.0,19.0,0.0,8.0,0.0,18.0,1.0,20.0,0.0
-79.58333333333333,48.083333333333336,,,1.0,1.6567498,11.265917,24.365719,1236.6979,23.46,-22.77675,46.236748,14.993083,-7.3539166,16.01375,-14.423709,871.0,101.0,44.0,26.195223,289.0,150.0,279.0,164.0,0.0,0.0,10.0,0.0,5.0,0.0,67.0,0.0,17.0,1.0
-79.41666666666667,44.083333333333336,1.0,1.0,1.0,6.3642707,9.358,24.884327,1031.6115,25.521,-12.085,37.606,18.093,-6.0807915,18.633083,-6.517125,883.0,91.0,52.0,18.939604,260.0,163.0,257.0,169.0,1.0,27.0,18.0,0.0,2.0,0.0,30.0,21.0,0.0,0.0
-79.41666666666667,44.25,1.0,1.0,,6.3222604,9.336187,24.705608,1033.6073,25.41275,-12.377,37.78975,18.150333,-6.323583,18.555042,-6.4987497,898.0,91.0,54.0,17.10901,259.0,172.0,254.0,180.0,0.0,22.0,18.0,0.0,2.0,0.0,32.0,9.0,17.0,1.0
-79.41666666666667,44.416666666666664,,1.0,1.0,6.4432397,8.725979,23.468605,1010.9737,24.935,-12.2465,37.1815,10.004791,-2.7962084,18.320208,-6.23275,923.0,92.0,57.0,14.881447,261.0,182.0,247.0,189.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,95.0,0.0
-79.41666666666667,44.583333333333336,1.0,1.0,1.0,6.005177,9.596646,25.009012,1046.6328,25.23375,-13.139,38.37275,-3.315,-2.6638331,18.327625,-7.01925,1007.0,103.0,62.0,15.292304,293.0,197.0,250.0,254.0,0.0,10.0,14.0,0.0,2.0,0.0,25.0,9.0,39.0,1.0
-79.41666666666667,44.75,1.0,1.0,1.0,5.683281,10.206104,25.79905,1067.5739,25.24275,-14.31725,39.56,-4.2909584,-2.6189167,18.195457,-7.8680835,1049.0,108.0,66.0,16.534388,314.0,204.0,250.0,272.0,0.0,9.0,21.0,0.0,3.0,0.0,51.0,2.0,13.0,1.0
-79.41666666666667,44.916666666666664,,1.0,1.0,5.5191145,10.375479,26.12681,1061.5885,25.00475,-14.70725,39.711998,-4.40425,-2.7498748,17.958834,-7.9585414,1069.0,110.0,66.0,16.871529,316.0,209.0,250.0,272.0,0.0,0.0,13.0,0.0,3.0,0.0,63.0,3.0,18.0,2.0
-79.41666666666667,45.083333333333336,1.0,1.0,1.0,5.1869063,10.637438,26.60956,1059.9146,24.707,-15.269,39.976,7.7769165,-3.0087502,17.59675,-8.308001,1075.0,110.0,67.0,16.659119,321.0,212.0,251.0,270.0,0.0,3.0,10.0,0.0,2.0,0.0,68.0,1.0,16.0,2.0
-79.41666666666667,45.25,1.0,1.0,1.0,4.797927,10.701729,26.644913,1068.9701,24.35225,-15.812,40.16425,7.219583,-3.2474582,17.300209,-8.877125,1068.0,111.0,69.0,16.83751,322.0,210.0,251.0,268.0,0.0,1.0,7.0,0.0,1.0,0.0,80.0,0.0,12.0,2.0
-79.41666666666667,45.416666666666664,1.0,,,4.51599,10.596271,26.257315,1080.9471,24.109001,-16.2465,40.3555,6.8237915,-3.4939165,17.168459,-9.339791,1047.0,111.0,67.0,17.172247,319.0,202.0,253.0,255.0,0.0,0.0,7.0,0.0,2.0,0.0,89.0,0.0,3.0,1.0
-79.41666666666667,45.583333333333336,,1.0,,4.3945,10.563875,26.008827,1090.5253,24.06,-16.5565,40.6165,6.7310414,-3.67225,17.147667,-9.610541,1018.0,111.0,62.0,18.143183,315.0,192.0,255.0,232.0,0.0,4.0,13.0,0.0,2.0,0.0,74.0,0.0,7.0,1.0
-79.41666666666667,45.75,,1.0,,4.184875,10.43975,25.749344,1090.8236,23.81825,-16.7255,40.54375,6.565625,-3.9532917,16.962334,-9.798166,993.0,111.0,55.0,20.30888,310.0,181.0,262.0,207.0,0.0,3.0,13.0,0.0,2.0,0.0,70.0,1.0,11.0,1.0
-79.41666666666667,46.083333333333336,1.0,1.0,1.0,4.1364374,10.624833,25.061228,1132.1223,24.60075,-17.79475,42.3955,12.558875,-9.613874,17.287292,-10.442041,910.0,107.0,41.0,27.130186,294.0,151.0,267.0,155.0,0.0,7.0,18.0,0.0,5.0,0.0,68.0,0.0,1.0,1.0
-79.41666666666667,46.25,1.0,1.0,1.0,4.3415937,10.065813,23.825817,1147.2264,24.855751,-17.39175,42.2475,17.016792,-9.602292,17.801792,-10.297125,902.0,105.0,42.0,26.54213,291.0,152.0,270.0,156.0,1.0,1.0,16.0,0.0,5.0,0.0,35.0,9.0,34.0,1.0
-79.41666666666667,46.416666666666664,,1.0,1.0,3.299427,10.4435625,24.541039,1151.3313,23.915,-18.640501,42.555504,15.835584,-10.509875,16.752832,-11.471416,988.0,111.0,51.0,22.574,311.0,180.0,294.0,185.0,1.0,1.0,13.0,0.0,4.0,0.0,78.0,3.0,1.0,0.0
-79.41666666666667,46.75,,1.0,,2.9613438,10.924271,25.090916,1167.786,23.86475,-19.674,43.53875,15.658709,-11.063458,16.5455,-12.121833,959.0,102.0,51.0,20.9428,296.0,176.0,287.0,186.0,0.0,0.0,8.0,0.0,5.0,0.0,82.0,0.0,4.0,1.0
-79.41666666666667,47.25,1.0,1.0,1.0,2.9357498,11.115541,24.540194,1202.4482,24.29625,-20.999,45.29525,12.079083,-11.668167,16.863499,-12.655917,871.0,95.0,43.0,23.705364,273.0,153.0,270.0,158.0,2.0,11.0,15.0,0.0,5.0,0.0,44.0,1.0,23.0,1.0
-79.41666666666667,47.416666666666664,,1.0,,2.7504063,11.443104,24.783777,1229.3265,24.64925,-21.522501,46.171753,15.991708,-12.107292,16.962667,-13.2404585,859.0,97.0,40.0,25.751186,275.0,147.0,274.0,151.0,3.0,34.0,20.0,0.0,7.0,0.0,29.0,1.0,6.0,0.0
-79.41666666666667,47.583333333333336,,1.0,1.0,2.5111666,11.609709,25.08553,1233.865,24.44175,-21.83875,46.280502,15.697375,-12.393959,16.712376,-13.567042,867.0,98.0,41.0,25.844498,281.0,148.0,275.0,154.0,2.0,21.0,20.0,0.0,8.0,0.0,38.0,1.0,9.0,1.0
